college_img,college_name,college_course,college_loc,college_fees,AllIndia,Open,Minority
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498547353asd.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rajarshi Shahu College of Pharmacy and Research - [RSCPR], Pune",B.Pharm ,"Pune, Maharashtra","92,000",75.51,93.44,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498648708sd.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Channabasweshwar Pharmacy College, Latur",B.Pharm ,"Latur, Maharashtra","87,000",74.18,95.77,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498804749ccccccccccccccccccccccc.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dayanand College of Pharmacy - [DCOP], Latur",B.Pharm ,"Latur, Maharashtra","90,000",75.21,95.77,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498808201cammmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Govindrao Nikam College of Pharmacy Sawarde, Ratnagiri",B.Pharm ,"Ratnagiri, Maharashtra","95,000",49.47,91.16,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498817070sdcasd.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dattakala College of Pharmacy - [DKCOP], Pune",B.Pharm ,"Pune, Maharashtra","1,03,000",80.74,90.24,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/14988881801443437288BAMUNEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maharashtra College of Pharmacy - [MCPN], Nilanga",B.Pharm ,"Nilanga, Maharashtra","95,000",87.22,97.75,86.58
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498900544cccccccccccmmmmmmmmm.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","NCRD's Sterling Institute of Pharmacy, Navi Mumbai",B.Pharm ,"Mumbai, Maharashtra","1,28,000",79.88,96.53,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/14989081651.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Anand Charitable Sanstha's College of Pharmaceutical Science and Research, Ashti",B.Pharm ,"Ashti, Maharashtra","62,000",38.72,86.47,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1499065981DDDDDDDDDDDDDDDD.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Konkan Gyanpeeth Rahul Dharkar College of Pharmacy and Research Institute - [KGRDCP & RI], Karjat",B.Pharm ,"Karjat, Maharashtra","1,24,000",58.05,91.29,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1499425364ccccccccfdfgd.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","St. John Institute of Pharmacy and Research - [SJIPR], Palghar",B.Pharm ,"Palghar, Maharashtra","1,35,000",64.55,90.64,0
