college img,college name,college loc,college course,college fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/23643/2020/8/17/Campus,"MAEER's MIT College of Railway Engineering and Research, Barshi","Barshi, Maharashtra",B.Tech Computer Science and Engineering,279 624,1.05,48.76,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5071/2018/10/16/Campus,"Aditya Engineering College, Beed","Beed, MaharashtraCourses &amp;",BE Computer Science and Engineering,,6.73,10.9,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4809/2018/10/31/Campus,"Bharat Ratna Indira Gandhi College of Engineering, Solapur","Kegaon, MaharashtraCourses &amp;",B.Tech Computer Science and Engineering,261 840,10.7,26.08,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3559/2018/9/18/Campus,"Rajiv Gandhi College of Engineering, Research and Technology, Chandrapur","Chandrapur, Maharashtra",B.Tech Computer Science and Engineering,,74.81,54.45,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4384/2019/3/28/Campus,"Godavari College of Engineering, Jalgaon","Jalgaon, MaharashtraCourses &amp;",BE Computer Engineering,,10.04,8.7,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4658/2018/9/12/Campus,"College of Engineering and Technology, Akola","Babhulgaon, MaharashtraCourses &amp;",BE Computer Science and Engineering,,15.62,53.61,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4161/2018/10/24/Campus,"Jagadambha College of Engineering and Technology, Yavatmal","Yavatmal, MaharashtraCourses &amp;",BE Computer Engineering,363 631,69.01,22.65,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3616/2019/2/20/Campus,"Nutan Maharashtra Institute of Engineering and Technology, Pune","Talegaon Dabhade, MaharashtraCourses &amp;",BE Computer Engineering,391 740,91.05,82.9,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5034/2020/8/7/Campus,"Alard College of Engineering and Management, Pune","Pune, Maharashtra",BE Computer Engineering,,13.63,21.51,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2619/2018/11/5/campus,"Jawahar Education Society's AC Patil College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Computer Engineering,396 972,81.11,78.07,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3576/2019/3/25/College,"Padmabhushan Vasantdada Patil Pratishthan's College of Engineering, Mumbai","Mumbai, Maharashtra  FeesCutoff",BE Computer Engineering,,88.83,82.77,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3975/2019/4/3/Campus,"Konkan Gyanpeeth College of Engineering, Karjat","Raigad, Maharashtra",B.Tech Computer Engineering,,27.81,52.56,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5306/2018/7/23/NBN-Sinhgad-Technical-Institutes-Campus-Ambegaon-Canteen1.jpg,"NBN Sinhgad Technical Institutes Campus, Ambegaon","Pune, Maharashtra",BE Computer Engineering,412 608,88.66,76.36,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3055/2019/3/22/College,"Indira College of Engineering and Management, Pune","Pune, Maharashtra",BE Computer Engineering,440 000,87.59,79.6,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/23638/2020/8/17/Campus,"Gramin College of Engineering, Nanded","Nanded, Maharashtra",B.Tech Computer Engineering,,12.59,20.85,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/116/2018/5/31/IIT-Bombay-26.jpg,IIT Bombay - Indian Institute of Technology,"Mumbai, Maharashtra",B.Tech Computer Science and Engineering,908 400,99.68,98.94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4635/2018/4/19/Campus-View-2.jpeg,COEP Pune - College of Engineering,"Pune, Maharashtra",B.Tech Computer Engineering,339 450,99.68,98.94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2631/2018/5/24/Vishwakarma-Institute-of-Technology-Pune1.jpg,VIT Pune - Vishwakarma Institute of Technology,"Pune, Maharashtra",B.Tech Computer Engineering,739 740,98.32,96.1,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/186/2018/6/21/Symbiosis-Institute-of-Technology-Pune1.jpg,SIT Pune - Symbiosis Institute of Technology,"Pune, Maharashtra",B.Tech Computer Science and Engineering,10 40 000,88.63,82.77,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4953/2018/4/20/Auditorium.jpg,AIT Pune - Army Institute of Technology,"Pune, Maharashtra",BE Computer Science and Engineering,610 153,99.62,98.83,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/144/2018/4/5/VNIT-Nagpur-11.jpg,VNIT Nagpur - Visvesvaraya National Institute of Technology,"Nagpur, Maharashtra",B.Tech Computer Science and Engineering,538 300,75.9,49.43,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5030/2018/5/18/AISSMS-College-of-Engineering-Pune1.jpg,"AISSMS College of Engineering, Pune","Pune, Maharashtra",BE Computer Engineering,632 000,95.02,91.06,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2530/2018/4/19/Events.jpg,MPSTME Mumbai - Mukesh Patel School of Technology Management and Engineering,"Mumbai, Maharashtra",B.Tech Computer Science and Business System in partnership with TCS,246 000,95.25,93.82,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2001/2018/7/25/Campus-View-3.jpg,GECA Aurangabad - Government College of Engineering,"Aurangabad, Maharashtra",BE Computer Science and Engineering,325 001,99.32,99.77,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4798/2018/5/24/Sardar-Patel-Institute-of-Technology-Mumbai11.jpg,SPIT Mumbai - Sardar Patel Institute of Technology,"Mumbai, Maharashtra",BE Computer Engineering,680 000,99.85,99.23,0
