college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/17619/2018/12/3/Campus,"Government College of Engineering, Nagpur","Khapri, Maharashtra  FeesCutoff",BE Electronics and Telecommunication Engineering,,40.43,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2599/2018/7/31/Walchand-Institute-of-Technology-Solapur-CV1.jpg,WIT Solapur - Walchand Institute of Technology,"Solapur, Maharashtra",B.Tech Electronics and Communication Engineering,422 028,34.1,12.74,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2014/2018/9/25/College,"Don Bosco Institute of Technology, Mumbai","Mumbai, Maharashtra  Fees",BE Electronics and Telecommunication Engineering,503 824,32.87,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1631/2017/1/31/Indian-Institute-of-Information-Technology-Pune.jpg,IIIT Pune - Indian Institute of Information Technology,"Pune, Maharashtra",B.Tech Electronics and Communication Engineering,802 000,31.26,14.36,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4117/2020/8/20/Campus,"Imperial College of Engineering and Research, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,425 000,29.45,7.7,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2549/2018/10/3/College,"PE Society's Modern College of Engineering, Pune","Pune, Maharashtra",B.Tech Electronics and Telecommunication Engineering,415 540,28.81,15.94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4366/2018/10/1/Campus,"Government College of Engineering, Jalgaon","Jalgaon, Maharashtra",B.Tech Electronics and Telecommunication Engineering,331 784,28.32,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4981/2018/11/3/Campus,"Annasaheb Dange College of Engineering and Technology, Sangli","Ashta, Maharashtra",BE Electronics and Telecommunication Engineering,404 000,27.83,12.01,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3456/2018/9/27/Campus,"RC Patel Institute of Technology, Shirpur","Shirpur, Maharashtra",BE Electronics and Telecommunication Engineering,,26.82,41.72,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7558/2019/1/18/Campus,"Narsee Monjee Institute of Management Studies, Shirpur","Savalade, Maharashtra",B.Tech Electronics and Telecommunication Engineering,600 000,23.37,12.74,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4181/2020/9/2/Campus,"International Institute of Information Technology, Pune","Pimpri-Chinchwad, Maharashtra",BE Electronics and Telecommunication Engineering,448 000,22.54,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2736/2018/10/27/campus,"Usha Mittal Institute of Technology, Mumbai","Mumbai, Maharashtra",B.Tech Electronics and Communication Engineering,465 180,21.43,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3533/2020/9/4/Campu-View,"Pillai College of Engineering, New Panvel","Panvel, Maharashtra  FeesCutoff",BE Electronics and Telecommunication Engineering,503 020,20.06,4.47,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2540/2018/10/29/Campus,"SIES Graduate School of Technology, Navi Mumbai","Navi Mumbai, Maharashtra",B.Tech Electronics and Computer Science,,18.88,0.01,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1984/2018/9/24/Front,"MGM's College of Engineering, Nanded","Nanded, Maharashtra",B.Tech Electronics and Telecommunication Engineering,413 400,17.7,15.54,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7682/2020/8/17/Campus,"National Institute of Electronics and Information Technology, Aurangabad","Aurangabad, Maharashtra",B.Tech Electronics System Engineering,,17.43,42.35,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1958/2018/10/8/Campus,"St John College of Engineering and Management, Palghar","Palghar, Maharashtra",BE Electronics and Telecommunication Engineering,385 616,17.11,0,0
