college_img,college_name,college_fees,college_loc,college_course,college_rating,CutOff
"https://images.static-collegedunia.com/public/college_data/images/appImage/10404_PDMMC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr Panjabrao Deshmukh Memorial Medical College, Amravati","8,30,000","Amravati, Maharashtra",MBBS ,6.8,323000
"https://images.static-collegedunia.com/public/college_data/images/appImage/10415_DVMGMC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr Vaishampayan Memorial Government Medical College, Solapur",83900,"Solapur, Maharashtra",MBBS ,8,9063
"https://images.static-collegedunia.com/public/college_data/images/appImage/10458_9b1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College & Hospital, Akola","1,07,900","Akola, Maharashtra",MBBS ,7,335067
"https://images.static-collegedunia.com/public/college_data/images/appImage/10465_GMCN_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College - [GMC], Nagpur","1,00,800","Nagpur, Maharashtra",MBBS ,8.1,3308
"https://images.static-collegedunia.com/public/college_data/images/appImage/10754_NKP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","NKP SALVE INSTITUTE OF MEDICAL SCIENCES & RC & LATA MANGESHKAR HOSPITAL, Nagpur","9,98,000","Nagpur, Maharashtra",MBBS ,5.9,98099
"https://images.static-collegedunia.com/public/college_data/images/appImage/25690_1447070047DYPEC_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil Education Society - [DYPES], Kolhapur","20,60,000","Kolhapur, Maharashtra",MBBS ,8.6,393518
"https://images.static-collegedunia.com/public/college_data/images/appImage/7677_MEERMM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maharashtra Institute of Medical Sciences and Research - [MIMSR], Latur","7,60,000","Latur, Maharashtra",MBBS ,7.8,467056
"https://images.static-collegedunia.com/public/college_data/images/appImage/10205_dfrghh.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","ACPM Medical College, Dhule","6,97,000","Dhule, Maharashtra",MBBS ,8.5,245020
"https://images.static-collegedunia.com/public/college_data/images/appImage/10310_BVPMSANGLI_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Deemed University Medical College and Hospital, Sangli","19,98,150","Sangli, Maharashtra",MBBS ,8.6,384097
"https://images.static-collegedunia.com/public/college_data/images/appImage/10311_b 1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Medical College - [BVMC], Pune","21,28,665","Pune, Maharashtra",MBBS ,8.7,160234
