college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8102/2020/11/24/Campus-View,"MET Bhujbal Knowledge City, Nashik","Nashik, Maharashtra  FeesCutoff",B.Tech Mechanical Engineering,298 560,55.44,10.51,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2678/2019/3/26/College,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology, Pune","Baramati, MaharashtraCourses &amp;",BE Mechanical Engineering,252 264,49.06,62.38,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3339/2018/10/26/Campus,"SKN Sinhgad College of Engineering, Korti","Pandharpur, MaharashtraCourses &amp;",B.Tech Mechanical Engineering,319 002,43.11,56.43,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3366/2020/8/26/College,"Rizvi College of Engineering, Bandra","Mumbai, Maharashtra  FeesCutoff",BE Mechanical Engineering,,74.27,83.37,1.26
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3923/2019/3/25/College,"Lokmanya Tilak College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Mechanical Engineering,,0.29,28.28,13.59
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4459/2020/11/23/Campus,"GH Raisoni College of Engineering and Management, Pune","Pune, Maharashtra",B.Tech Mechanical Engineering,419 960,36.05,8.14,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2007/2018/10/5/Campus,"D.Y. Patil College of Engineering and Technology, Kolhapur","Kolhapur, Maharashtra",B.Tech Mechanical Engineering,449 240,7.64,2.87,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4595/2018/11/8/Campus,"Deogiri Institute of Engineering and Management Studies, Aurangabad","Aurangabad, Maharashtra",B.Tech Mechanical Engineering,,34.47,9.86,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7107/2019/3/13/Campus,"CSMSS CHH Shahu College of Engineering, Aurangabad","Aurangabad, Maharashtra",B.Tech Mechanical Engineering,320 000,9.53,43,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3172/2018/10/12/College,"Shivajirao S Jondhale College of Engineering, Thane","Dombivli, Maharashtra",BE Mechanical Engineering,344 400,11.11,25.01,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3257/2018/11/2/College,"Saraswati College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Mechanical Engineering,,22.79,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5082/2018/10/6/Campus,"Adarsh Institute of Technology and Research Center, Sangli","Khambale Bhalvani, MaharashtraCourses &amp;",B.Tech Mechanical Engineering,,0,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3661/2019/4/2/Campus,"Navsahyadri Group of Institutes, Pune","Pune, MaharashtraCourses &amp;",BE Mechanical Engineering,220 000,27.53,49,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4484/2018/9/7/College,"Fabtech Technical Campus, Solapur","Solapur, MaharashtraCourses &amp;",B.Tech Mechanical Engineering,2 89 580,8.06,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3503/2018/8/16/Pravara-Rural-Engineering-College-Loni-CV1.jpg,"Pravara Rural Engineering College, Loni","Chandrapur, Maharashtra",BE Mechanical Engineering,4 31 684,48.88,18.98,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3781/2020/11/28/Campus,"Matoshri Pratishthans Group of Institutions, Nanded","Khupsarwadi, Maharashtra",B.Tech Mechanical Engineering,1 60 000,50.83,0.07,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8787/2018/11/13/Campus-View,"New Horizon Institute of Technology and Management, Thane","Thane, Maharashtra",BE Mechanical Engineering,3 48 000,13.39,37.47,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4992/2018/10/9/Campus,"Anjuman College of Engineering and Technology, Nagpur","Nagpur, Maharashtra",BE Mechanical Engineering,,24.09,0,19.17
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/23643/2020/8/17/Campus,"MAEER's MIT College of Railway Engineering and Research, Barshi","Barshi, Maharashtra",B.Tech Mechanical Engineering,2 79 624,3.07,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3692/2018/9/19/College,"Nagnathappa Halge College of Engineering, Beed","Parli, Maharashtra",BE Mechanical Engineering,,27.55,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5071/2018/10/16/Campus,"Aditya Engineering College, Beed","Beed, MaharashtraCourses &amp;",BE Mechanical Engineering,,39.33,10.09,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4809/2018/10/31/Campus,"Bharat Ratna Indira Gandhi College of Engineering, Solapur","Kegaon, MaharashtraCourses &amp;",B.Tech Mechanical Engineering,2 61 840,15.01,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3187/2018/10/13/College,"Sharad Institute of Technology, College of Engineering, Yadrav","Ichalkaranji, Maharashtra",B.Tech Mechanical Engineering,,0.72,7.7,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3559/2018/9/18/Campus,"Rajiv Gandhi College of Engineering, Research and Technology, Chandrapur","Chandrapur, Maharashtra",B.Tech Mechanical Engineering,,68.42,4.95,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4134/2018/9/25/Parking,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal","Yavatmal, Maharashtra",BE Mechanical Engineering,,1.53,21.46,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2015/2018/8/20/Dnyanshree-Institute-of-Engineering-and-Technology-Satara2.png,"Dnyanshree Institute of Engineering and Technology, Satara","Gajawadi, Maharashtra",BE Mechanical Engineering,61 000,7.62,41,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4384/2019/3/28/Campus,"Godavari College of Engineering, Jalgaon","Jalgaon, MaharashtraCourses &amp;",BE Mechanical Engineering,,1.37,43.52,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4658/2018/9/12/Campus,"College of Engineering and Technology, Akola","Babhulgaon, MaharashtraCourses &amp;",BE Mechanical Engineering,,99.72,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2008/2019/3/13/College,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon","Talegaon Dabhade, Maharashtra",BE Mechanical Engineering,260 000,2.31,37.7,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4161/2018/10/24/Campus,"Jagadambha College of Engineering and Technology, Yavatmal","Yavatmal, MaharashtraCourses &amp;",BE Mechanical Engineering,363 631,34.14,2.28,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3616/2019/2/20/Campus,"Nutan Maharashtra Institute of Engineering and Technology, Pune","Talegaon Dabhade, MaharashtraCourses &amp;",BE Mechanical Engineering,391 740,4.57,25.69,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5034/2020/8/7/Campus,"Alard College of Engineering and Management, Pune","Pune, Maharashtra",BE Mechanical Engineering,,0,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2619/2018/11/5/campus,"Jawahar Education Society's AC Patil College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Mechanical Engineering,396 972,0.34,15.76,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3572/2020/9/7/Campus-View,"Padmashri Dr VB Kolte College of Engineering, Malkapur","Malkapur, Maharashtra",BE Mechanical Engineering,228 000,26.47,51.77,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3975/2019/4/3/Campus,"Konkan Gyanpeeth College of Engineering, Karjat","Raigad, Maharashtra",B.Tech Mechanical Engineering,,12.4,18.53,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5306/2018/7/23/NBN-Sinhgad-Technical-Institutes-Campus-Ambegaon-Canteen1.jpg,"NBN Sinhgad Technical Institutes Campus, Ambegaon","Pune, Maharashtra",BE Mechanical Engineering,412 608,4.83,21.96,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3055/2019/3/22/College,"Indira College of Engineering and Management, Pune","Pune, Maharashtra",BE Mechanical Engineering,440 000,1.05,12.48,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/23638/2020/8/17/Campus,"Gramin College of Engineering, Nanded","Nanded, Maharashtra",B.Tech Mechanical Engineering,,36.97,49.1,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2002/2019/3/23/College,"G. H. Raisoni Institute of Business Management,Jalgaon","Jalgaon, MaharashtraCourses &amp;",BE Mechanical Engineering,322 600,63.96,96.01,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4151/2020/8/18/College,"Jaihind College of Engineering, Pune","Pune, Maharashtra",BE Mechanical Engineering,,90.83,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4910/2019/3/4/Medical,"Aurangabad College of Engineering, Aurangabad","Aurangabad, Maharashtra",BE Mechanical Engineering,144 000,25.59,45.29,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3775/2019/2/28/Consumer,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon","Sawarna, MaharashtraCourses &amp;",BE Mechanical Engineering,,46.77,47.95,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4015/2019/3/15/Campus,"Kavikulguru Institute of Technology and Science, Nagpur","Parsoda, Maharashtra",BE Mechanical Engineering,412 000,65.98,61.86,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/116/2018/5/31/IIT-Bombay-26.jpg,IIT Bombay - Indian Institute of Technology,"Mumbai, Maharashtra",B.Tech Mechanical Engineering,908 400,99.63,99.56,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4635/2018/4/19/Campus-View-2.jpeg,COEP Pune - College of Engineering,"Pune, Maharashtra",B.Tech Mechanical Engineering,339 450,98.32,94.85,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2631/2018/5/24/Vishwakarma-Institute-of-Technology-Pune1.jpg,VIT Pune - Vishwakarma Institute of Technology,"Pune, Maharashtra",B.Tech Mechanical Engineering,739 740,96.58,96.37,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/186/2018/6/21/Symbiosis-Institute-of-Technology-Pune1.jpg,SIT Pune - Symbiosis Institute of Technology,"Pune, Maharashtra",B.Tech Mechanical Engineering,10 40000,95.65,93.17,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4953/2018/4/20/Auditorium.jpg,AIT Pune - Army Institute of Technology,"Pune, Maharashtra",BE Mechanical Engineering,610 153,92.38,92.23,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/144/2018/4/5/VNIT-Nagpur-11.jpg,VNIT Nagpur - Visvesvaraya National Institute of Technology,"Nagpur, Maharashtra",B.Tech Mechanical Engineering,538 300,91.09,84.16,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5030/2018/5/18/AISSMS-College-of-Engineering-Pune1.jpg,"AISSMS College of Engineering, Pune","Pune, Maharashtra",BE Mechanical Engineering,632 000,90.59,83.11,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2530/2018/4/19/Events.jpg,MPSTME Mumbai - Mukesh Patel School of Technology Management and Engineering,"Mumbai, Maharashtra",B.Tech Mechanical Engineering,12 46000,90.03,77.72,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2001/2018/7/25/Campus-View-3.jpg,GECA Aurangabad - Government College of Engineering,"Aurangabad, Maharashtra",BE Mechanical Engineering,325 001,87.71,83.39,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3532/2018/8/16/Pimpri-Chinchwad-College-of-Engineering-Pune-CV.jpg,PCCOE Pune - Pimpri Chinchwad College of Engineering,"Pune, Maharashtra",BE Mechanical Engineering,548 236,74.27,74.06,0
