pagination,comp_name,comp_role,comp_exp,comp_loc,comp_desc,mskills,cmp_skills
https://www.naukri.com/jobs-in-maharashtra-2963,LinkTag Inc.,PMO-Mobile,10-11 Yrs,Pune,Should have 10 11 years of mobile domain experience Prior & relevant experience in Mobi...,Technical,"Technical,product,configurationc++Cdesign,MySQL,JavaScript,integration,PHP,HTML"
https://www.naukri.com/jobs-in-maharashtra-3811,Vegayan Systems, Marketing     Sales,1-5 Yrs,Mumbai,-  Marketing     Sales x  Marketing     SALES (INTERN/ TRAINEE) Education: BE/ BTech in EE/ ECE/ ...,Marketing,"Service,deliveryOutboundTechnology,managementSalessales,internManager,Technology,Marketing,collateralsCustomer,relationship"
https://www.naukri.com/jobs-in-maharashtra-5325,Search Forme, Marketing     - Category manager in Edible Oil,5-10 Yrs,Mumbai,"Experience of 5-7 years, at least 3 years in  Marketing     in FMCG/Food serviceExperience i...",Marketing,"Brand,ActivationCategory,ManagementSalesNew,Product,DevelopmentTrade,Marketing,FMCGASM"
https://www.naukri.com/jobs-in-maharashtra-5228,Technical Recruiter,Company Secretary,4-8 Yrs,"Mumbai, Navi Mumbai, Mumbai (All Areas)",#NAME?,L,"Statutory,AuditCompany,SecretaryCompanies,ActComplianceROCAgendaCompany,L,AWS,EBI"
https://www.naukri.com/jobs-in-maharashtra-4725,DG7,Di GIT  al  Marketing     Manager,2-4 Yrs,Mumbai Suburban,Provide revenue and pacing insights for projects to ensure tight adherence to the agree...,Marketing,"B2BWeb,technologiesProject,managementBudgetingManagementDi,GIT,al,Marketing,Resource,managementProject,delivery"
https://www.naukri.com/jobs-in-maharashtra-2285,Powerwin Energy Solutions, Marketing     Executives/Business Development Engineers,2-5 Yrs,Pune,. We are looking for a band of merry men and women with an insatiable will to succeed a...,Marketing,"Electrical,engineeringHR,ExecutiveMicrobiologyPackagingBusiness,managementManager,Electrical,Marketing,Executive"
https://www.naukri.com/jobs-in-maharashtra-4857,Lavya Associates,Branch Training Manager | Life Insurance-Achalpur,3-8 Yrs,"Abu Road, Achalpur",We are having urgent requirement for the position of Branch Training Manager in leading...,training,"training,developmentpartnership,distributionlearning,developmenttrainingtraining,managerlearning,&,development"
https://www.naukri.com/jobs-in-maharashtra-3507,Pay1, Marketing     Executive,1-4 Yrs,Mumbai, Marketing     ExecutiveDevelop and manage di GIT  al  Marketing     campaigns. Experience: 1+ years,"Marketing,Marketing,Marketing","Marketing,campaignsExecutive,managementManagementDi,GIT,al,Marketing,Marketing,Executive"
https://www.naukri.com/jobs-in-maharashtra-4029,Bhoruka Classic Finance Pvt Ltd,Accounts Manager,5-8 Yrs,Mumbai,Position: Manager Accounts ( Prefer Male Candidate)Candidate should be well experienced...,Office,"Accounts,FinalisationBalance,SheetCost,AccountingInternal,AuditTDSInternal,ControlExternal,AuditMS,Office"
https://www.naukri.com/jobs-in-maharashtra-864,Universal Manpower Online,Sales and  Marketing     Executive - Channel sales - Upto 5.2 LPA,1-6 Yrs,"Kolkata, Visakhapatnam, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Jaipur, Bangalore/Bengaluru, Mumbai (All Areas)",Adding new key accounts Onboard new merchants Oversee the revenue growth Merchant acqui...,Marketing,"ChannelDistributor,SalesChannel,SalesInstitutional,SalesB2B,SalesNetwork,ExpansionB2B,Marketing,Dealer,Sales"
https://www.naukri.com/jobs-in-maharashtra-5268,Popular Placements Consultancy,Field Sales- Stock Broking- Sales Executive,1-6 Yrs,"Bhopal, Indore, Nagpur, Bhilai/Bhillai, Raipur, Amravati",1 Year experience in Stock Broking / Banking/Insurance / Finance is required Should hav...,Marketing,"LoansHNIBankBDMManagerequity,Marketing,Direct"
https://www.naukri.com/jobs-in-maharashtra-3031,GALAGALI MULTIMEDIA PVT. LTD.,Internet  Marketing     Manager,3-4 Yrs,Mumbai,Requirement :* Marketing     of customized Di GIT  al  Marketing     services to all potential custo...,Marketing,"Internet,Marketing,Manager"
https://www.naukri.com/jobs-in-maharashtra-5465,Seven Consultancy,Hiring_BDM_Reputed Shipping Industry_Navi Mumbai_8 LPA,3-5 Yrs,"Mumbai, Thane, Navi Mumbai, Ahmedabad",Broker (Dry Bulk)- Handy to handymax. Experience 3-5. Broker (Dry Bulk) - supra to baby...,"and,Marketing","shipbrokercargo,shippingship,brokersea,shippingBusiness,DevelopmentShipping,Linesales,and,Marketing"
https://www.naukri.com/jobs-in-maharashtra-5201,Elixir Web Solutions,Manager/Senior Manager - Risk &  Marketing     Analytics - SAS,10-12 Yrs,Mumbai,Manager/Senior Manager - Risk and  Marketing     Analytics - SAS - MSC/MA - ECo/Stat/MathsWe...,Marketing,"SASRetail,AnalyticsRisk,Analytics,Marketing,Analyti,CSS,tatisticsAnalytics"
https://www.naukri.com/jobs-in-maharashtra-5177,LIVE CONNECTIONS PLACEMENTS PRIVATE LIMITED,Big4 is hiring For SAP IBP Specialist,3-8 Yrs,"Kolkata, Pune, Chennai",Should able to conduct workshops independently & discuss work results clearly We are lo...,-,"Supply,PlanningIntegrated,Business,PlanningSAP,IBPSAP,-,IBPIBPcommunicationSAPIT,Skills"
https://www.naukri.com/jobs-in-maharashtra-5291,AUR consultant,Select Relationship Manager,6-10 Yrs,Nagpur,"Roles and Responsibilities Profile involving acquiring, growing & deepening Super HNI B...",hni,"hni,client"
https://www.naukri.com/jobs-in-maharashtra-5249,Easy Recruit, Java  Lead,6-8 Yrs,"Mumbai, Chennai, Mumbai/Chennai","Please find below JD for  Java  lead -1. Designing, coding and debugging of product featu...",-,"CI,tools,HTML,Core,Java,JSPDevOpsREST,servicesService,-,oriented,architectureSpring"
https://www.naukri.com/jobs-in-maharashtra-2387,Kapittx,Jr  Java  Developer,2-7 Yrs,Pune,"Handson experience with  HTML ,  CSS ,  jQuery  and other web stack components Passionate abo...",Technical,"Hibernate,jQuery,GIT,XMLGreen,field,projects,HTML,Technical,architectureMobile,applications"
https://www.naukri.com/jobs-in-maharashtra-1095,Pattern,Performance  Marketing     Executive,2-4 Yrs,Pune,"Bachelor s degree in  Marketing    , Business, or a related program Provide specialist SEM a...",-,"Communication,SkillsGoogle,AnalyticsGoogle,AdWords,Keyword,ResearchE,-,CommerceSemCampaignsSeo"
